Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,470nF,
J1,BARREL_JACK,1,Barrel_Jack,
"J3, J4",JST_EH_B03B-EH-A_03x2.50mm_Straight,2,Conn_01x03_Male,
"N1, N2, N3, N4, N5, N6",IN-12-DSUB,6,IN-12A,
"NE1, NE2, NE3, NE4",NE2-NEON-BULB-DRILL,4,Lamp_Neon,
"Q1, Q2, Q3, Q4",TO-92_Inline_Narrow_Oval,4,MPSA42,
"R1, R13, R14, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,2k2,
"R10, R5, R6, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,180K,
"R11, R12, R3, R4, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,1.5K,
U1,TO-220-3_Vertical,1,L7805,
"U10, U11, U12, U13, U14, U9",DIP-16_W7.62mm_LongPads,6,74141,
U2,Pololu_Breakout-16_15.2x20.3mm,1,WeMos_D1_mini,
U3,PinHeader_1x06_P2.54mm_Horizontal,1,BME280,
"U4, U5, U6, U7",DIP-16_W7.62mm_LongPads,4,74HC595,
