Designator,Mid X,Mid Y,Rotation,Layer
C1,206.4385,-136.525,180.0,top
C2,194.2465,-136.525,0.0,top
J1,210.185,-120.015,180.0,top
J3,123.19,-109.22,0.0,top
J4,216.535,-108.585,90.0,top
N1,88.9,-69.85,0.0,top
N2,110.49,-69.85,0.0,top
N3,135.89,-69.85,0.0,top
N4,157.48,-69.85,0.0,top
N5,182.88,-69.85,0.0,top
N6,204.47,-69.85,0.0,top
NE1,123.19,-66.04,180.0,top
NE2,123.19,-73.66,180.0,top
NE3,170.18,-66.04,180.0,top
NE4,170.18,-73.66,180.0,top
Q1,170.18,-90.805,90.0,top
Q2,123.19,-91.44,90.0,top
Q3,170.18,-85.09,90.0,top
Q4,123.19,-85.725,90.0,top
R1,121.92,-104.267,90.0,top
R10,173.99,-45.72,-90.0,top
R11,191.77,-45.72,-90.0,top
R12,211.455,-45.72,-90.0,top
R13,172.085,-103.632,90.0,top
R14,124.968,-104.267,90.0,top
R2,168.91,-103.632,90.0,top
R3,97.79,-45.72,-90.0,top
R4,119.38,-45.72,-90.0,top
R5,123.19,-45.72,-90.0,top
R6,127.0,-45.72,-90.0,top
R7,144.145,-45.72,-90.0,top
R8,166.37,-45.72,-90.0,top
R9,170.18,-45.72,-90.0,top
U1,203.2,-132.08,180.0,top
U10,114.3,-105.41,180.0,top
U11,139.7,-105.41,180.0,top
U12,161.29,-105.41,180.0,top
U13,186.69,-105.41,180.0,top
U14,208.28,-105.41,180.0,top
U2,115.57,-136.525,90.0,top
U3,85.09,-128.905,180.0,top
U4,179.705,-118.745,-90.0,top
U5,109.855,-118.745,-90.0,top
U6,156.21,-118.745,-90.0,top
U7,203.2,-118.745,-90.0,top
U9,92.71,-105.41,180.0,top
